Year,Team,name_last,name_first,RetroID,G,GS,Outs,IP,R,ER,ERA,W,L,SV,PA,AB,H,DB,TP,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,TB,GDP,HBP,SH,SF,IBB,PlatoonStats,PctVsLHP,AVG_L,OBP_L,SLG_L,PA_L,AB_L,H_L,DB_L,TP_L,HR_L,RBI_L,BB_L,SO_L,TB_L,GDP_L,HBP_L,SH_L,SF_L,IBB_L,AVG_R,OBP_R,SLG_R,PA_R,AB_R,H_R,DB_R,TP_R,HR_R,RBI_R,BB_R,SO_R,TB_R,GDP_R,HBP_R,SH_R,SF_R,IBB_R,Baserunning,SB,CS,SBPct,SBO,JumpPct,SB2,CS2,SB3,CS3,SBH,CSH,PkO,POCS
1987,BOS,Sellers,Jeff,sellj001,25,22,419,139.2,85,82,5.28,7,8,0,620,539,161,37,4,10,72,10,7,61,99,0.299,0.368,0.438,236,9,3,8,8,0,,54,0.307,0.374,0.441,334,290,89,21,3,4,46,33,42,128,6,0,7,3,0,0.289,0.361,0.434,286,249,72,16,1,6,26,28,57,108,3,3,1,5,0,,10,7,58.8,240,7.08,8,6,1,1,1,0,7,0
1987,BOS,Stanley,Bob,stanb001,34,20,458,152.2,96,85,5.01,4,15,0,676,616,198,33,3,17,88,6,8,42,67,0.321,0.363,0.468,288,23,1,13,4,7,,49,0.358,0.413,0.522,334,299,107,21,2,8,37,29,28,156,8,0,5,1,7,0.287,0.314,0.416,342,317,91,12,1,9,51,13,39,132,15,1,8,3,0,,6,8,42.9,297,4.71,6,5,0,3,0,0,8,0
1987,BOS,Woodward,Rob,woodb001,9,6,111,37,33,29,7.05,1,1,0,177,157,53,13,1,6,28,0,0,15,15,0.338,0.394,0.548,86,4,1,2,2,0,,55,0.348,0.388,0.551,98,89,31,10,1,2,17,6,9,49,2,1,0,2,0,0.324,0.403,0.544,79,68,22,3,0,4,11,9,6,37,2,0,2,0,0,,0,0,NULL,78,0,0,0,0,0,0,0,0,0
1987,CAL,Buice,DeWayne,buicd001,57,0,342,114,45,43,3.39,6,7,17,457,408,87,17,1,12,53,8,3,40,109,0.213,0.285,0.348,142,11,2,5,2,3,,48,0.218,0.307,0.347,221,193,42,7,0,6,26,25,54,67,4,0,3,0,2,0.209,0.265,0.349,236,215,45,10,1,6,27,15,55,75,7,2,2,2,1,,8,3,72.7,160,6.88,7,3,1,0,0,0,3,0
1987,CAL,Candelaria,John,candj001,20,20,350,116.2,70,61,4.71,8,6,0,487,455,127,18,3,17,64,3,7,20,74,0.279,0.308,0.444,202,6,1,6,5,0,,16,0.338,0.377,0.465,78,71,24,3,0,2,5,5,16,33,0,0,1,1,0,0.268,0.295,0.44,409,384,103,15,3,15,59,15,58,169,6,1,5,4,0,,3,7,30,164,6.1,3,7,0,0,0,0,7,2
1987,CAL,Cook,Mike,cookm001,16,1,103,34.1,21,21,5.5,1,2,0,148,129,34,5,0,7,22,4,3,18,27,0.264,0.354,0.465,60,4,0,1,0,0,,43,0.321,0.397,0.589,64,56,18,3,0,4,15,7,7,33,2,0,1,0,0,0.219,0.321,0.37,84,73,16,2,0,3,7,11,20,27,2,0,0,0,0,,4,3,57.1,52,13.46,4,2,0,1,0,0,3,0
1987,CAL,Finley,Chuck,finlc001,35,3,272,90.2,54,47,4.67,2,7,0,405,355,102,23,0,7,49,1,6,43,63,0.287,0.367,0.411,146,8,3,2,2,3,,36,0.259,0.299,0.356,144,135,35,10,0,1,19,8,29,48,5,0,0,1,0,0.305,0.405,0.445,261,220,67,13,0,6,30,35,34,98,3,3,2,1,3,,1,6,14.3,165,4.24,1,6,0,0,0,0,6,0
1987,CAL,Fraser,Willie,frasw001,36,23,530,176.2,85,77,3.92,10,10,1,744,666,160,34,2,26,82,16,5,63,106,0.24,0.31,0.414,276,10,6,5,4,3,,50,0.248,0.329,0.42,372,326,81,16,2,12,41,37,44,137,3,3,4,2,2,0.232,0.291,0.409,372,340,79,18,0,14,41,26,62,139,7,3,1,2,1,,16,5,76.2,272,7.72,15,5,1,0,0,0,5,0
1987,CAL,Garcia,Miguel,garcm001,1,0,5,1.2,4,3,16.2,0,0,0,11,8,3,0,0,0,3,0,0,3,0,0.375,0.545,0.375,3,0,0,0,0,0,,36,0.5,0.5,0.5,4,4,2,0,0,0,1,0,0,2,0,0,0,0,0,0.25,0.571,0.25,7,4,1,0,0,0,2,3,0,1,0,0,0,0,0,,0,0,NULL,8,0,0,0,0,0,0,0,0,0
1987,CAL,Harvey,Bryan,harvb001,3,0,15,5,0,0,NULL,0,0,0,22,20,6,1,0,0,0,0,0,2,3,0.3,0.364,0.35,7,0,0,0,0,0,,55,0.4,0.5,0.5,12,10,4,1,0,0,0,2,1,5,0,0,0,0,0,0.2,0.2,0.2,10,10,2,0,0,0,0,0,2,2,0,0,0,0,0,,0,0,NULL,10,0,0,0,0,0,0,0,0,0
